Eruptive Unit,Lava Flow Name,LIP,Eruptive Age (Ma),Minimum Eruptive Volume (km3),Lithology and Thickness,Magnitude,Composition (wt.% SiO2),References,Color
Mahabaleshwar–Rajahmundry Traps (Upper),M-R Traps,Deccan,64.8,5000,Basalt lava (20–50) ,9.4,High-Ti tholeiitic Basalt (48.1),Self et al. (2008) ,C1
"McCoy Canyon flow (Sentinel Bluffs Member, Grande Ronde N2)",McCoy Canyon flow,Columbia River,15.6,4078,Basalt lava (10–60) ,9.06,Tholeiitic Basalt (53.6) ,Reidel (2005); Landon and Long (1989) ,C0
Umtanum flow (Grande Ronde N2),Umtanum flow,Columbia River,15.6,2750,Basalt lava (~ 50) ,8.87,Tholeiitic Basalt (54.7) ,Reidel et al. (1989) ,C0
"Sand Hollow flow (Frenchmans Springs member, Wanapum Basalt) ",Sand Hollow flow,Columbia River,15.3,2660,Basalt lava (~ 40) ,8.86,Tholeiitic Basalt (51.8) ,Beeson et al. (1985) Tolan et al. (1989) ,C0
"Pruitt Draw flow (Teepee Butte Member, Grande Ronde R1) ",Pruitt Draw flow,Columbia River,16.5,2350,Basalt Lava (30–100) ,8.8,Tholeiitic Basalt (53.0) ,Reidel and Tolan (1992); Reidel (1983) ,C0
"Museum flow (Sentinel Bluffs Member, Grande Ronde N2) ",Museum flow,Columbia River,15.6,2349,Basalt Lava (10–80) ,8.8,Tholeiitic Basalt (54.2) ,Reidel (2005); Landon and Long (1989) ,C0
"Rosalia flow (Priest Rapids Member, Wanapum Basalt) ",Rosalia flow,Columbia River,14.5,1900,Basalt lava (~ 50) ,8.7,Tholeiitc Basalt (50.5) ,Tolan et al. (1989) ,C0
"Joseph Creek flow (Teepee Butte Member, Grande Ronde R1) ",Joseph Creek flow,Columbia River,16.5,1850,Basalt Lava (20–90) ,8.7,Tholeiitic Basalt (52.3) ,Reidel and Tolan (1992) ,C0
Ginkgo Basalt (Frenchmans Springs member) ,Ginkgo Basalt,Columbia River,15.3,1600,Basalt lava (30–N 150) ,8.64,Tholeiitic Basalt (51.5) ,Tolan et al. (1989); Reidel et al. (1994); Beeson et al. (1985) ,C0
Rosa Member (Wanapum Basalt) ,Rosa Member,Columbia River,14.5,1300,Basalt lava (3–50) ,8.55,Tholeiitic Basalt (50.2) ,Tolan et al. (1989); Self et al. (1997) ,C0
"Stember Creek flow (Sentinel Bluffs Member, Grande Ronde N2) ",Stember Creek flow,Columbia River,15.6,1192,Basalt lava (5–50) ,8.51,Tholeiitic Basalt (53.5) ,Reidel (2005); Landon and Long (1989) ,C0
Greenstone flow,Greenstone flow,Midcontinent Rift,1092,1650,Basalt lava (450),,Tholeiitic Basalt (53.5) ,Longo (1984),C2