Sample,MgO,SiO2,CaO,TiO2,MnO,FeO,Total,Unit
BBC6-Ol-1,33.7,38.77,0,0,0.42,27.11,100,BRD
BBC6-Ol-2,33.23,38.84,0,0,0.5,27.43,100,BRD
BBC6-Ol-3,33.71,38.7,0,0,0.37,27.21,100,BRD
BBC6-Ol-4,33.64,38.85,0,0,0.52,26.99,100,BRD
BBC6-Ol-5,33.55,39.09,0,0,0.38,26.98,100,BRD
BBC6-Ol-6,33.55,39.22,0,0,0.43,26.8,100,BRD
Average,33.56,38.91,0,0,0.44,27.09,100,BRD
BBC13-Ol-1,27.51,37.48,0,0,0.54,34.47,100,BRD
BBC13-Ol-2,27.28,37.46,0.19,0,0.32,34.75,100,BRD
BBC13-Ol-3,27.21,37.15,0,0,0.48,35.15,100,BRD
BBC13-Ol-4,25.62,37.22,0.15,0,0.45,36.57,100,BRD
BBC13-Ol-5,24.48,37.04,0.2,0,0.36,37.92,100,BRD
BBC13-Ol-6,26.86,37.47,0,0,0.6,35.06,100,BRD
Average,26.49,37.3,0.09,0,0.46,35.65,100,BRD
BBC14-Ol-1,24.79,36.99,0,0,0.65,37.57,100,BRD
BBC14-Ol-2,25.1,37.18,0,0,0.55,37.17,100,BRD
BBC14-Ol-3,24.8,36.95,0,0,0.71,37.55,100,BRD
BBC14-Ol-4,25.27,37.44,0,0,0.41,36.88,100,BRD
BBC14-Ol-5,25.51,37.34,0,0,0.53,36.63,100,BRD
BBC14-Ol-6,25.37,37.05,0,0,0.52,37.05,100,BRD
Average,25.14,37.16,0,0,0.56,37.14,100,BRD
SBI10-Ol-1,20.89,36.26,0.44,0,0.7,41.71,100,BRD
SBI10-Ol-2,19.04,35.55,0.22,0,0.47,44.71,100,BRD
SBI10-Ol-3,20.5,36.08,0.23,0,0.69,42.49,100,BRD
SBI10-Ol-4,22.73,36.87,0.21,0,0.59,39.59,100,BRD
SBI10-Ol-5,22.22,36.29,0.22,0,0.41,40.85,100,BRD
SBI10-Ol-6,19.01,35.49,0.19,0,0.5,44.82,100,BRD
Average,20.73,36.09,0.25,0,0.56,42.36,100,BRD
B364-Ol-1,36.1,37.1,0.14,0,0.33,24.7,98.4,BRD
B364-Ol-2,36.3,37.7,0.12,0,0.3,24.9,99.3,BRD
B364-Ol-3,35.7,36.8,0.2,0,0.32,24.8,97.8,BRD
B364-Ol-4,36.3,37.3,0.22,0,0.33,24.6,98.8,BRD
B364-Ol-5,36.6,37.3,0.16,0,0.3,24.5,98.9,BRD
B364-Ol-6,36.3,36.7,0.17,0,0.3,24.7,98.2,BRD
B364-Ol-7,36.6,37.5,0.14,0,0.32,25,99.6,BRD
Average,36.27,37.2,0.16,0,0.31,24.74,98.7,BRD
E161-Ol-1,38.3,37.5,0.34,0.08,0.34,23.5,100.1,BRD
E161-Ol-2,38,37.9,0.34,0.07,0.32,23.3,99.9,BRD
E161-Ol-3,38.3,38.1,0.23,0.03,0.32,23.2,100.2,BRD
E161-Ol-4,38.1,38,0.25,0.08,0.31,23.3,100,BRD
E161-Ol-5,38.5,38.3,0.29,0.08,0.29,23.3,100.8,BRD
E161-Ol-6,37.6,38.7,0.35,0.09,0.3,23,100,BRD
Average,38.13,38.08,0.3,0.07,0.31,23.27,100.2,BRD
D126-Ol-1,37.5,37.4,0.26,0.1,0.34,24.5,100.1,BRD
D126-Ol-2,37.4,38.3,0.24,0.05,0.34,24.5,100.8,BRD
D126-Ol-3,37.4,38.7,0.28,0.08,0.35,24.8,101.6,BRD
D126-Ol-4,37.2,37.3,0.25,0.09,0.35,24.7,99.9,BRD
D126-Ol-5,37.4,38,0.26,0.08,0.35,24.6,100.7,BRD
Average,37.38,37.94,0.26,0.08,0.35,24.62,100.6,BRD
D314-Ol-1,33.1,35.6,0.23,0,0.41,30.2,99.5,BRD
D314-Ol-2,33.5,36.3,0.29,0,0.4,30.1,100.6,BRD
D314-Ol-3,34.8,36.2,0.24,0,0.32,28.5,100.1,BRD
D314-Ol-4,34.5,34.8,0.3,0,0.42,29.6,99.6,BRD
D314-Ol-5,33.8,35.4,0.37,0,0.44,29.8,99.8,BRD
Average,33.94,35.66,0.29,0,0.4,29.64,99.9,BRD
D246-Ol-1,35.5,36.4,0.28,0,0.38,26.8,99.4,BRD
D246-Ol-2,35.8,36.7,0.25,0,0.38,26.9,100,BRD
D246-Ol-3,36.9,35.8,0.26,0,0.34,26.6,99.9,BRD
D246-Ol-4,35.4,36.7,0.22,0,0.35,28.1,100.8,BRD
D246-Ol-5,34.6,35.9,0.25,0,0.41,28.9,100.1,BRD
D246-Ol-6,35.2,36.4,0.22,0,0.4,28.7,100.9,BRD
D246-Ol-7,34.7,36,0.21,0,0.41,29.2,100.5,BRD
Average,35.44,36.27,0.24,0,0.38,27.89,100.2,BRD
B326-Ol-1,26.6,34.4,0.34,0,0.52,36.3,98.2,BRD
B326-Ol-2,28,34.5,0.4,0,0.47,35.1,98.5,BRD
B326-Ol-3,27.3,34.2,0.35,0,0.46,35.7,98,BRD
B326-Ol-4,26.9,34.3,0.36,0,0.51,36.2,98.3,BRD
Average,27.2,34.35,0.36,0,0.49,35.83,98.2,BRD
E217-Ol-1,31.4,36.7,0.3,0,0.48,31.4,100.3,BRD
E217-Ol-2,32.1,36.5,0.3,0,0.39,31,100.3,BRD
E217-Ol-3,32.8,36,0.3,0,0.41,31,100.5,BRD
E217-Ol-4,31.9,36.1,0.29,0,0.44,30.9,99.6,BRD
E217-Ol-5,32.1,36.8,0.29,0,0.44,31.3,100.9,BRD
Average,32.06,36.42,0.3,0,0.43,31.12,100.3,BRD
E159A-Ol-1,28.1,35.2,0.41,0,0.55,35.7,100,BRD
E159A-Ol-2,31,35.7,0.42,0,0.48,32.3,99.9,BRD
E159A-Ol-3,31.4,35.8,0.41,0,0.44,32.6,100.7,BRD
E159A-Ol-4,25.5,34.2,0.42,0.01,0.59,38.3,99,BRD
E159A-Ol-5,20.6,34,0.49,0.05,0.72,44.6,100.5,BRD
E159A-Ol-6,23.8,34.4,0.34,0,0.65,41.7,100.9,BRD
E159A-Ol-7,23.2,34.8,0.41,0.01,0.69,42.1,101.2,BRD
E159A-Ol-8,23.6,34.5,0.4,0.01,0.66,41.7,100.9,BRD
E159A-Ol-9,21.3,34.2,0.29,0,0.72,43.9,100.4,BRD
Average,25.39,34.76,0.4,0.01,0.61,39.21,100.4,BRD
A290B-Ol-1,29.3,35.8,0.38,0,0.48,33.2,99.2,BRD
A290B-Ol-2,30.5,36,0.37,0,0.45,32,99.3,BRD
A290B-Ol-3,26.7,35.2,0.35,0.03,0.59,36.5,99.4,BRD
A290B-Ol-4,29.8,35.7,0.41,0,0.45,33.4,99.8,BRD
A290B-Ol-5,28,35.5,0.34,0.01,0.47,34.5,98.8,BRD
A290B-Ol-6,30,36.5,0.37,0,0.45,32.9,100.2,BRD
Average,29.05,35.78,0.37,0.01,0.48,33.75,99.4,BRD
B319-Ol-1,28.5,35.4,0.31,0.01,0.51,33.8,98.5,BRD
B319-Ol-2,26.5,34.9,0.37,0.02,0.57,36.9,99.3,BRD
B319-Ol-3,24,34.2,0.45,0,0.64,40.3,99.6,BRD
B319-Ol-4,25.7,35.4,0.43,0,0.57,38.1,100.2,BRD
B319-Ol-5,22.7,34.3,0.41,0.02,0.63,42.4,100.5,BRD
B319-Ol-6,22.8,34.3,0.4,0.02,0.61,42,100.1,BRD
B319-Ol-7,25.7,35,0.36,0.03,0.57,38.1,99.8,BRD
B319-Ol-8,26,35.3,0.35,0,0.56,38.8,101,BRD
Average,25.24,34.85,0.39,0.01,0.58,38.8,99.9,BRD
C179B-Ol-1,22.6,34.4,0.34,0,0.61,41.5,99.5,BRD
C179B-Ol-2,22.8,34.9,0.38,0.04,0.6,40.8,99.5,BRD
C179B-Ol-3,23.1,34.5,0.34,0,0.62,40.8,99.4,BRD
C179B-Ol-4,23.5,34,0.37,0.01,0.63,40.5,99,BRD
C179B-Ol-5,19.8,33.2,0.41,0.02,0.72,44.9,99.1,BRD
C179B-Ol-6,21.2,34,0.42,0.01,0.7,43,99.3,BRD
Average,22.17,34.17,0.38,0.01,0.65,41.92,99.3,BRD
B190-Ol-1,17.1,32.6,0.36,0.02,0.74,48,98.8,BRD
B190-Ol-2,16.7,33.3,0.34,0.02,0.77,48,99.1,BRD
B190-Ol-3,16.1,32.8,0.37,0,0.8,48.8,98.9,BRD
Average,16.63,32.9,0.36,0.01,0.77,48.27,98.9,BRD
C442A-Ol-1,14.3,32.2,0.35,0,0.82,51.5,99.2,BRD
C442A-Ol-2,14.4,32.4,0.39,0.02,0.81,51.6,99.6,BRD
C442A-Ol-3,14.1,33.6,0.33,0.05,0.77,51.2,100.1,BRD
C442A-Ol-4,14.2,33,0.34,0.01,0.81,51.5,99.9,BRD
C442A-Ol-5,14,31.9,0.36,0.02,0.8,51.8,98.9,BRD
Average,14.2,32.62,0.35,0.02,0.8,51.52,99.5,BRD
D193-Ol-1,18.8,32.6,0.36,0.02,0.81,47.3,99.9,BRD
D193-Ol-2,18.7,32.8,0.38,0,0.74,47,99.6,BRD
D193-Ol-3,14,32.4,0.36,0.03,0.87,52.4,100.1,BRD
D193-Ol-4,13.4,32.2,0.33,0.03,0.9,52.8,99.7,BRD
Average,16.23,32.5,0.36,0.02,0.83,49.88,99.8,BRD
F261-Ol-1,17.9,32.5,0.43,0,0.73,48.8,100.4,BRD
F261-Ol-2,17.4,33.1,0.42,0.1,0.73,49.1,100.9,BRD
F261-Ol-3,17.9,32.1,0.43,0,0.71,49,100.1,BRD
Average,17.73,32.57,0.43,0.03,0.72,48.97,100.5,BRD
G500A-Ol-1,12.4,32.7,0.25,0,0.7,53.9,100,BRD
G500A-Ol-2,12.4,32.5,0.28,0,0.76,53.8,99.7,BRD
G500A-Ol-3,12.2,32.9,0.28,0,0.89,55,101.3,BRD
G500A-Ol-4,11.8,32.8,0.28,0,0.9,52.9,98.7,BRD
G500A-Ol-5,12,33.2,0.31,0,0.8,54.2,100.5,BRD
G500A-Ol-6,12,32.6,0.28,0,0.8,53.9,99.6,BRD
Average,12.13,32.78,0.28,0,0.81,53.95,100,BRD
G500B-Ol-1,25.2,35.7,0.15,0,0.55,38.4,100,BRD
G500B-Ol-2,25.1,35.8,0.18,0,0.49,38.3,99.9,BRD
G500B-Ol-3,25.5,36,0.16,0,0.59,37.6,99.9,BRD
G500B-Ol-4,25.5,35.7,0.17,0,0.51,37.5,99.4,BRD
G500B-Ol-5,24.7,36.1,0.14,0,0.44,39.3,100.7,BRD
G500B-Ol-6,24.8,35.7,0.17,0,0.44,39.2,100.3,BRD
G500B-Ol-7,24.8,35.9,0.14,0,0.5,38.4,99.7,BRD
G500B-Ol-8,24.9,35.7,0.16,0,0.47,39,100.2,BRD
G500B-Ol-9,25.3,35.7,0.18,0,0.43,37.8,99.4,BRD
G500B-Ol-10,24.9,35.9,0.15,0,0.49,38.7,100.1,BRD
Average,25.07,35.82,0.16,0,0.49,38.42,100,BRD
G500C-Ol-1,7.5,32.1,0.3,0,1.08,60.4,101.4,BRD
G500C-Ol-2,7.4,31.3,0.29,0,0.98,60.1,100.1,BRD
G500C-Ol-3,7.2,31.3,0.3,0,1.07,60.2,100.1,BRD
G500C-Ol-4,7.5,31.6,0.31,0,0.98,59.3,99.7,BRD
G500C-Ol-5,7.3,31.5,0.28,0,1.02,60.1,100.2,BRD
G500C-Ol-6,7.5,31.6,0.35,0,1.03,59.1,99.6,BRD
G500C-Ol-7,7.3,31.4,0.33,0,1.04,60.3,100.4,BRD
Average,7.39,31.54,0.31,0,1.03,59.93,100.2,BRD
H515-Ol-1,10.7,32.6,0.23,0,0.79,55.7,100,BRD
H515-Ol-2,10.6,32.5,0.26,0,0.84,55.8,100,BRD
H515-Ol-3,9.8,32.3,0.18,0,0.99,56.8,100.1,BRD
H515-Ol-4,10.8,32.4,0.17,0,0.86,56,100.2,BRD
H515-Ol-5,6.6,31.6,0.2,0,0.79,61.7,100.9,BRD
H515-Ol-6,6.6,31.7,0.19,0,0.82,61.2,100.5,BRD
H515-Ol-7,6.6,31.6,0.17,0,0.87,61.7,100.9,BRD
Average,8.81,32.1,0.2,0,0.85,58.41,100.4,BRD
G536-Ol-1,16.1,33.2,0.27,0.69,49.3,99.6,,BRD
G536-Ol-2,15.4,33.7,0.26,0,0.76,50.1,100.2,BRD
G536-Ol-3,16.1,33.5,0.28,0,0.67,49.2,99.8,BRD
G536-Ol-4,16.2,33.4,0.24,0,0.69,49.2,99.7,BRD
G536-Ol-5,16.2,33.8,0.28,0,0.57,49.4,100.3,BRD
Average,16,33.52,0.27,0,0.68,49.44,99.9,BRD
KP1-Ol-1,28.15,38.59,0.18,0,0,33.08,100,GSF
KP1-Ol-2,27.77,37.73,0,0,0.48,34.02,100,GSF
KP1-Ol-3,26.36,37.36,0,0,0.44,35.84,100,GSF
KP1-Ol-4,25.42,37.4,0.16,0,0.53,36.5,100,GSF
KP1-Ol-5,25.98,37.42,0,0,0.44,36.16,100,GSF
KP1-Ol-6,25.73,37.23,0,0.22,0.51,36.31,100,GSF
KP1-Ol-7,25.41,37.14,0,0,0.6,36.84,100,GSF
KP1-Ol-8,25.61,36.99,0,0,0.53,36.87,100,GSF
KP1-Ol-9,25.25,36.96,0,0,0.42,37.36,100,GSF
Average,26.19,37.42,0.04,0.02,0.44,35.89,100,GSF
KP5-Ol-1,29.24,37.78,0,0.3,0.57,32.11,100,GSF
KP5-Ol-2,29.3,37.72,0.25,0,0.53,32.2,100,GSF
KP5-Ol-3,28.51,38,0,0,0.32,33.17,100,GSF
KP5-Ol-4,28.92,37.75,0.17,0,0.55,32.61,100,GSF
KP5-Ol-5,32.12,38.06,0.15,0,0.33,29.33,100,GSF
KP5-Ol-6,23.62,44.56,4.88,0.61,0.38,25.94,100,GSF
KP5-Ol-7,30.83,38.12,0.15,0,0.46,30.44,100,GSF
KP5-Ol-8,31.11,38.46,0,0,0.53,29.91,100,GSF
Average,29.21,38.81,0.7,0.11,0.46,30.71,100,GSF
KP101-Ol-1,22.91,36.22,0.26,0,0.56,40.04,100,GSF
KP101-Ol-2,24.59,37,0.21,0,0.47,37.73,100,GSF
KP101-Ol-3,25.13,37.07,0.21,0,0.66,36.93,100,GSF
KP101-Ol-4,23.74,36.89,0.21,0,0.46,38.71,100,GSF
KP101-Ol-5,25.21,37.42,0.29,0,0.36,36.72,100,GSF
KP101-Ol-6,23.55,36.7,0.23,0,0.62,38.92,100,GSF
Average,24.19,36.88,0.24,0,0.52,38.18,100,GSF
KP108-Ol-1,24.5,58.72,0.48,0,0,16.31,100,GSF
KP108-Ol-2,24.06,57.08,0.79,0,0,18.07,100,GSF
KP108-Ol-3,28.87,34.09,0.16,0,0.53,36.35,100,GSF
KP108-Ol-4,28.72,34.35,0.16,0,0.71,36.05,100,GSF
KP108-Ol-5,28.11,34.28,0.15,0,0.61,36.84,100,GSF
KP108-Ol-6,28.63,34.32,0.2,0,0.56,36.3,100,GSF
Average,27.15,42.14,0.32,0,0.4,29.99,100,GSF
KP114-Ol-1,20.82,32.93,0.29,0,0.79,45.18,100,GSF
KP114-Ol-2,21.57,33.06,0.22,0,0.92,44.24,100,GSF
KP114-Ol-3,21.39,32.67,0.21,0,0.76,44.97,100,GSF
KP114-Ol-4,21.51,33.07,0.2,0,0.72,44.5,100,GSF
KP114-Ol-5,21.03,32.52,0.23,0,0.35,45.88,100,GSF
KP114-Ol-6,22.09,32.97,0.22,0,0.72,44,100,GSF
KP114-Ol-7,22.59,33.12,0.17,0,0.66,43.46,100,GSF
KP114-Ol-8,22.02,32.88,0.2,0,0.62,44.28,100,GSF
KP114-Ol-9,22.6,33.2,0,0,0.61,43.58,100,GSF
KP114-Ol-10,22.28,33.43,0.21,0,0.64,43.44,100,GSF
KP114-Ol-11,22.28,33.05,0.22,0,0.71,43.74,100,GSF
KP114-Ol-12,22.37,33.29,0.22,0,0.7,43.42,100,GSF
Average,21.88,33.02,0.2,0,0.68,44.22,100,GSF
IR15-Ol-1,25.02,36.97,0,0,0.35,37.67,100,GSF
IR15-Ol-2,24.55,37.02,0,0,0.56,37.87,100,GSF
IR15-Ol-3,24.83,37,0.16,0,0.45,37.55,100,GSF
IR15-Ol-4,25.25,37.1,0.22,0,0.46,36.97,100,GSF
IR15-Ol-5,24.26,36.99,0.24,0,0.39,38.12,100,GSF
IR15-Ol-6,23.86,37.21,0,0,0.36,38.58,100,GSF
Average,24.63,37.05,0.1,0,0.43,37.79,100,GSF
IR19B-Ol-1,24.05,36.81,0.16,0,0.48,38.51,100,GSF
IR19B-Ol-2,27.49,38.1,0,0,0.61,33.8,100,GSF
IR19B-Ol-3,24.75,37.49,0,0,0.49,37.28,100,GSF
IR19B-Ol-4,24.87,37.22,0.18,0,0.36,37.37,100,GSF
IR19B-Ol-5,24.05,37.14,0,0,0.4,38.41,100,GSF
IR19B-Ol-6,24.44,36.69,0.15,0,0.41,38.3,100,GSF
Average,24.94,37.24,0.08,0,0.46,37.28,100,GSF