Sample,CAT SUM,Si,Al,Na,Ca,Fe,Mg,K,Total,An,Megacryst_loc,Unit,loc
IR21-Core-5,2.73,2.26,1.76,0.25,0.67,0.03,0.01,0,4.98,73.1,GSF core,GSF,core
IR21-Core-6,2.71,1.92,2.27,0.23,0.62,0,0,0.01,5.06,72.1,GSF core,GSF,core
IR21-Core-7,2.73,2.35,1.64,0.23,0.7,0.03,0,0.01,4.95,74.4,GSF core,GSF,core
IR21-Core-8,2.75,2.22,1.79,0.23,0.73,0.03,0,0,5,75.7,GSF core,GSF,core
IR21-Core-9,2.75,2.22,1.78,0.26,0.73,0.03,0,0,5.02,73.4,GSF core,GSF,core
IR21-Core-10,2.75,2.25,1.76,0.3,0.69,0.03,0,0,5.03,69.6,GSF core,GSF,core
IR21-Core-11,2.73,2.35,1.67,0.41,0.56,0.03,0,0.01,5.02,57,GSF core,GSF,core
IR21-Core-12,2.74,2.25,1.76,0.28,0.7,0.02,0,0,5.01,71,GSF core,GSF,core
Average,2.74,2.23,1.79,0.28,0.69,0.02,0,0,5.01,71,GSF core,GSF,core
IR21-Rim-1,2.73,2.37,1.63,0.37,0.59,0.03,0,0.01,5,60.8,GSF rim,GSF,rim
IR21-Rim-2,2.73,2.36,1.63,0.42,0.6,0.02,0,0.01,5.04,58.5,GSF rim,GSF,rim
IR21-Rim-3,2.74,2.28,1.72,0.33,0.68,0.02,0,0,5.02,67.3,GSF rim,GSF,rim
IR21-Rim-4,2.73,2.37,1.62,0.42,0.59,0.03,0,0.01,5.04,57.7,GSF rim,GSF,rim
IR21-Rim-5,2.73,2.36,1.62,0.39,0.59,0.03,0.02,0.01,5.03,59.5,GSF rim,GSF,rim
IR21-Rim-6,2.73,2.36,1.63,0.39,0.6,0.03,0,0,5.02,60.3,GSF rim,GSF,rim
IR21-Rim-7,2.74,2.34,1.66,0.39,0.61,0.03,0,0.01,5.03,60.2,GSF rim,GSF,rim
IR21-Rim-8,2.75,2.26,1.75,0.3,0.69,0.02,0,0.01,5.02,69,GSF rim,GSF,rim
Average,2.74,2.34,1.66,0.38,0.62,0.03,0,0.01,5.03,61.7,GSF rim,GSF,rim
IR21-gm-1,2.68,2.64,1.36,0.51,0.4,0.02,0,0.02,4.95,43.1,GSF groundmass,GSF,groundmass
IR21-gm-2,2.71,2.46,1.53,0.37,0.58,0.01,0,0.01,4.96,60.5,GSF groundmass,GSF,groundmass
IR21-gm-3,2.71,2.46,1.54,0.34,0.59,0,0,0.01,4.95,62.5,GSF groundmass,GSF,groundmass
IR21-gm-4,2.69,2.55,1.45,0.44,0.49,0,0,0.02,4.95,51.6,GSF groundmass,GSF,groundmass
IR21-gm-5,2.69,2.6,1.4,0.49,0.44,0,0,0.02,4.95,45.9,GSF groundmass,GSF,groundmass
IR21-gm-6,2.69,2.56,1.43,0.45,0.49,0,0,0.02,4.96,50.7,GSF groundmass,GSF,groundmass
IR21-gm-7,2.69,2.61,1.39,0.49,0.44,0,0,0.03,4.95,46.1,GSF groundmass,GSF,groundmass
IR21-gm-8,2.66,2.72,1.3,0.5,0.32,0.02,0,0.03,4.89,37.3,GSF groundmass,GSF,groundmass
IR21-gm-9,2.69,2.53,1.48,0.43,0.5,0,0,0.02,4.95,52.7,GSF groundmass,GSF,groundmass
Average,2.69,2.57,1.43,0.45,0.47,0.01,0,0.02,4.95,50.1,GSF groundmass,GSF,groundmass
SBI10a-Core-1,2.76,2.19,1.8,0.21,0.81,0.01,0,0,5.02,79.3,BRD core,BRD,core
SBI10a-Core-2,2.75,2.26,1.73,0.27,0.73,0.02,0,0,5.02,72.8,BRD core,BRD,core
SBI10a-Core-3,2.76,2.21,1.77,0.24,0.77,0.03,0,0,5.02,76.3,BRD core,BRD,core
SBI10a-Core-4,2.69,2.58,1.4,0.36,0.54,0.02,0,0,4.9,59.7,BRD core,BRD,core
SBI10a-Core-5,2.72,2.43,1.56,0.49,0.54,0,0,0.03,5.05,51.2,BRD core,BRD,core
SBI10a-Core-6,2.76,2.26,1.71,0.3,0.75,0.02,0,0.01,5.05,70.6,BRD core,BRD,core
SBI10a-Core-7,2.75,2.26,1.72,0.31,0.72,0.02,0,0,5.03,70.2,BRD core,BRD,core
SBI10a-Core-8,2.75,2.31,1.66,0.37,0.69,0.02,0,0,5.05,65.2,BRD core,BRD,core
SBI10a-Core-9,2.75,2.36,1.64,0.3,0.64,0.03,0,0,4.97,67.9,BRD core,BRD,core
SBI10a-Core-10,2.74,2.31,1.67,0.36,0.68,0.02,0,0,5.04,65.6,BRD core,BRD,core
SBI10a-Core-11,2.72,2.44,1.53,0.27,0.67,0.03,0,0,4.93,71,BRD core,BRD,core
SBI10a-Core-12,2.76,2.26,1.71,0.3,0.75,0.02,0,0.01,5.05,70.6,BRD core,BRD,core
SBI10a-Core-13,2.75,2.26,1.72,0.31,0.72,0.02,0,0,5.03,70.2,BRD core,BRD,core
SBI10a-Core-14,2.73,2.29,1.72,0.19,0.74,0.01,0,0,4.95,79.3,BRD core,BRD,core
SBI10a-Core-15,2.74,2.3,1.69,0.21,0.75,0.02,0,0,4.96,78.1,BRD core,BRD,core
SBI10a-Core-16,2.72,2.45,1.52,0.36,0.6,0.03,0,0.01,4.97,61.9,BRD core,BRD,core
SBI10a-Core-17,2.8,2.29,1.55,0.15,0.66,0.24,0.12,0,5.01,81.1,BRD core,BRD,core
SBI10a-Core-18,2.75,2.26,1.73,0.18,0.79,0.02,0,0,4.97,81.3,BRD core,BRD,core
SBI10a-Core-19,2.75,2.26,1.73,0.18,0.77,0.03,0,0.01,4.97,80.5,BRD core,BRD,core
Average,2.75,2.31,1.66,0.28,0.7,0.03,0.01,0,5,71.2,BRD core,BRD,core
SBI10a-Rim-1,2.74,2.34,1.64,0.41,0.63,0.03,0,0.01,5.05,59.5,BRD rim,BRD,rim
SBI10a-Rim-2,2.75,2.33,1.64,0.37,0.65,0.04,0.01,0,5.04,63.7,BRD rim,BRD,rim
SBI10a-Rim-3,2.73,2.38,1.59,0.38,0.63,0.02,0,0,5.01,62.4,BRD rim,BRD,rim
SBI10a-Rim-4,2.74,2.35,1.63,0.39,0.64,0.03,0,0,5.03,62,BRD rim,BRD,rim
SBI10a-Rim-5,2.74,2.31,1.67,0.36,0.68,0.02,0,0,5.04,65.6,BRD rim,BRD,rim
SBI10a-Rim-6,2.66,2.77,1.22,0.41,0.41,0.02,0,0.02,4.84,49.3,BRD rim,BRD,rim
SBI10a-Rim-7,2.72,2.44,1.53,0.36,0.62,0.03,0,0,4.98,63.2,BRD rim,BRD,rim
SBI10a-Rim-8,2.69,2.58,1.4,0.36,0.54,0.02,0,0,4.9,59.7,BRD rim,BRD,rim
SBI10a-Rim-9,2.7,2.63,1.34,0.6,0.39,0.03,0,0.03,5.01,38.5,BRD rim,BRD,rim
SBI10a-Rim-10,2.72,2.43,1.56,0.49,0.54,0,0,0.03,5.05,51.2,BRD rim,BRD,rim
SBI10a-Rim-11,2.73,2.38,1.59,0.38,0.63,0.02,0,0,5.01,62.4,BRD rim,BRD,rim
SBI10a-Rim-12,2.75,2.31,1.66,0.37,0.69,0.02,0,0,5.05,65.2,BRD rim,BRD,rim
Average,2.72,2.44,1.54,0.41,0.59,0.02,0,0.01,5,58.6,BRD rim,BRD,rim
SBI10b-Core-1,2.72,2.48,1.49,0.59,0.49,0.02,0,0,5.07,45.4,BRD core,BRD,core
SBI10b-Core-2,2.75,2.21,1.78,0.25,0.76,0.02,0,0,5.02,75,BRD core,BRD,core
SBI10b-Core-3,2.76,2.23,1.75,0.29,0.74,0.02,0,0.01,5.04,71.2,BRD core,BRD,core
SBI10b-Core-4,2.77,2.2,1.77,0.24,0.76,0.05,0.02,0,5.04,76,BRD core,BRD,core
SBI10b-Core-5,2.76,2.21,1.77,0.27,0.76,0.03,0,0,5.04,73.8,BRD core,BRD,core
SBI10b-Core-6,2.76,2.2,1.79,0.25,0.78,0.02,0,0,5.04,75.5,BRD core,BRD,core
SBI10b-Core-7,2.75,2.21,1.78,0.25,0.78,0,0,0.01,5.02,75.4,BRD core,BRD,core
SBI10b-Core-8,2.75,2.24,1.76,0.28,0.74,0.01,0,0,5.02,72.6,BRD core,BRD,core
SBI10b-Core-9,2.75,2.26,1.73,0.3,0.73,0.02,0,0,5.03,70.6,BRD core,BRD,core
SBI10b-Core-10,2.75,2.22,1.77,0.26,0.75,0.02,0,0,5.03,73.9,BRD core,BRD,core
SBI10b-Core-11,2.69,2.66,1.31,0.61,0.38,0.02,0,0.02,5.01,37.1,BRD core,BRD,core
SBI10b-Core-12,2.76,2.21,1.77,0.24,0.77,0.02,0,0,5.02,76.4,BRD core,BRD,core
SBI10b-Core-13,2.74,2.42,1.52,0.22,0.6,0.11,0.06,0.01,4.94,72.2,BRD core,BRD,core
SBI10b-Core-14,2.78,2.3,1.58,0.22,0.68,0.15,0.09,0,5.02,75.4,BRD core,BRD,core
SBI10b-Core-15,2.76,2.2,1.79,0.26,0.77,0.02,0,0,5.04,75,BRD core,BRD,core
SBI10b-Core-16,2.77,2.23,1.7,0.29,0.71,0.08,0.04,0,5.06,71,BRD core,BRD,core
SBI10b-Core-17,2.76,2.25,1.72,0.29,0.74,0.03,0,0,5.03,71.6,BRD core,BRD,core
SBI10b-Core-18,2.76,2.23,1.76,0.28,0.75,0.02,0,0.01,5.04,72.1,BRD core,BRD,core
SBI10b-Core-19,2.82,2.24,1.58,0.23,0.63,0.24,0.14,0.01,5.09,72.2,BRD core,BRD,core
SBI10b-Core-20,2.76,2.19,1.8,0.23,0.79,0.01,0,0,5.02,77.8,BRD core,BRD,core
SBI10b-Core-21,2.75,2.23,1.76,0.27,0.73,0.02,0,0,5.02,72.8,BRD core,BRD,core
SBI10b-Core-22,2.75,2.26,1.71,0.28,0.75,0.02,0,0,5.02,72.8,BRD core,BRD,core
SBI10b-Core-23,2.74,2.26,1.74,0.18,0.77,0.02,0,0,4.96,81.1,BRD core,BRD,core
SBI10b-Core-24,2.73,2.33,1.66,0.25,0.7,0.01,0,0.01,4.97,72.8,BRD core,BRD,core
SBI10b-Core-25,2.73,2.33,1.66,0.19,0.74,0.02,0,0,4.94,79.5,BRD core,BRD,core
Average,2.75,2.27,1.7,0.28,0.71,0.04,0.01,0,5.02,71.6,BRD core,BRD,core
SBI10b-Rim-1,2.75,2.3,1.68,0.37,0.67,0.02,0,0.01,5.05,63.9,BRD rim,BRD,rim
SBI10b-Rim-2,2.65,2.46,1.7,0.17,0.42,0.02,0,0,4.77,71.7,BRD rim,BRD,rim
SBI10b-Rim-3,2.72,2.51,1.47,0.58,0.46,0.02,0,0.02,5.06,43.4,BRD rim,BRD,rim
SBI10b-Rim-4,2.71,2.57,1.39,0.43,0.5,0.03,0.02,0.02,4.96,52.6,BRD rim,BRD,rim
SBI10b-Rim-5,2.73,2.38,1.6,0.25,0.7,0.02,0,0,4.95,74,BRD rim,BRD,rim
SBI10b-Rim-6,2.76,2.21,1.77,0.25,0.77,0.01,0,0,5.03,75.3,BRD rim,BRD,rim
SBI10b-Rim-7,2.72,2.44,1.55,0.34,0.61,0.02,0,0.01,4.97,63.4,BRD rim,BRD,rim
SBI10b-Rim-8,2.71,2.53,1.45,0.44,0.52,0.02,0,0.02,4.98,53,BRD rim,BRD,rim
SBI10b-Rim-9,2.66,2.79,1.2,0.64,0.27,0,0,0.05,4.95,27.8,BRD rim,BRD,rim
Average,2.71,2.46,1.53,0.39,0.55,0.02,0,0.01,4.97,58.3,BRD rim,BRD,rim
SBI10-gm-1,2.71,2.49,1.5,0.38,0.56,0.02,0,0.01,4.96,59.1,BRD groundmass,BRD,groundmass
SBI10-gm-2,2.71,2.49,1.48,0.38,0.55,0.03,0.02,0.02,4.96,58.6,BRD groundmass,BRD,groundmass
SBI10-gm-3,2.74,2.43,1.53,0.33,0.55,0.1,0.03,0,4.98,62.3,BRD groundmass,BRD,groundmass
SBI10-gm-4,2.72,2.42,1.57,0.32,0.61,0.02,0,0.01,4.96,64.9,BRD groundmass,BRD,groundmass
SBI10-gm-5,2.73,2.4,1.56,0.28,0.64,0.05,0.02,0.01,4.96,68.7,BRD groundmass,BRD,groundmass
SBI10-gm-6,2.69,2.66,1.31,0.56,0.4,0.02,0,0.03,4.98,40.4,BRD groundmass,BRD,groundmass
SBI10-gm-7,2.72,2.43,1.56,0.33,0.62,0.02,0,0.01,4.96,64.7,BRD groundmass,BRD,groundmass
SBI10-gm-8,2.7,2.57,1.42,0.45,0.49,0.02,0,0.01,4.96,51.1,BRD groundmass,BRD,groundmass
SBI10B-BG-5,2.72,2.42,1.58,0.32,0.61,0.01,0,0.01,4.96,65,BRD groundmass,BRD,groundmass
Average,2.72,2.48,1.5,0.37,0.56,0.03,0.01,0.01,4.96,59.4,BRD groundmass,BRD,groundmass
B268a-Core-1,2.75,2.28,1.69,0.33,0.72,0.01,0,0,5.04,68.8,BRD core,BRD,core
B268a-Core-2,2.76,2.26,1.7,0.31,0.76,0.02,0,0,5.05,71,BRD core,BRD,core
B268a-Core-3,2.74,2.28,1.7,0.32,0.73,0,0,0,5.03,69.4,BRD core,BRD,core
B268a-Core-4,2.76,2.26,1.69,0.32,0.76,0.02,0,0,5.05,70.7,BRD core,BRD,core
B268a-Core-5,2.77,2.26,1.68,0.47,0.67,0.02,0.01,0.02,5.14,57.9,BRD core,BRD,core
B268a-Core-6,2.76,2.27,1.69,0.3,0.75,0.03,0,0,5.04,71.3,BRD core,BRD,core
B268a-Core-7,2.75,2.28,1.7,0.35,0.69,0.02,0,0,5.04,66.3,BRD core,BRD,core
B268a-Core-8,2.76,2.26,1.7,0.31,0.76,0.02,0,0,5.04,71.3,BRD core,BRD,core
B268a-Core-9,2.76,2.25,1.71,0.34,0.74,0.02,0,0.01,5.07,67.6,BRD core,BRD,core
B268a-Core-10,2.75,2.27,1.71,0.32,0.74,0,0,0,5.04,69.9,BRD core,BRD,core
B268a-Core-11,2.76,2.27,1.68,0.31,0.74,0.02,0.02,0,5.05,70,BRD core,BRD,core
B268a-Core-12,2.74,2.28,1.71,0.33,0.69,0.02,0,0,5.03,67.8,BRD core,BRD,core
B268a-Core-13,2.75,2.27,1.71,0.32,0.73,0.01,0,0,5.04,69.5,BRD core,BRD,core
B268a-Core-14,2.77,2.27,1.64,0.33,0.72,0.06,0.07,0,5.08,68.7,BRD core,BRD,core
B268a-Core-15,2.77,2.26,1.68,0.41,0.73,0.02,0,0.01,5.11,63.2,BRD core,BRD,core
B268a-Core-16,2.75,2.28,1.7,0.32,0.74,0,0,0,5.03,69.8,BRD core,BRD,core
B268a-Core-17,2.76,2.28,1.66,0.42,0.71,0.01,0,0.02,5.1,62,BRD core,BRD,core
B268a-Core-18,2.76,2.26,1.7,0.32,0.75,0.02,0,0.01,5.06,69.9,BRD core,BRD,core
B268a-Core-19,2.76,2.26,1.7,0.32,0.73,0.03,0,0,5.05,69.3,BRD core,BRD,core
B268a-Core-20,2.75,2.29,1.68,0.34,0.71,0.02,0,0,5.04,67.8,BRD core,BRD,core
B268a-Core-21,2.75,2.36,1.59,0.35,0.59,0.03,0.05,0.07,5.05,58.5,BRD core,BRD,core
B268a-Core-22,2.74,2.3,1.7,0.33,0.7,0,0,0,5.02,68,BRD core,BRD,core
B268a-Core-23,2.74,2.3,1.68,0.29,0.74,0,0,0.01,5.01,71.5,BRD core,BRD,core
B268a-Core-24,2.75,2.29,1.68,0.31,0.71,0.01,0.02,0,5.02,69.7,BRD core,BRD,core
B268a-Core-25,2.75,2.3,1.67,0.33,0.71,0.02,0,0,5.03,68.6,BRD core,BRD,core
B268a-Core-26,2.74,2.29,1.69,0.34,0.7,0,0,0.01,5.03,66.8,BRD core,BRD,core
B268a-Core-27,2.74,2.3,1.69,0.33,0.67,0.02,0,0.01,5.02,66.8,BRD core,BRD,core
Average,2.75,2.28,1.69,0.34,0.72,0.02,0.01,0.01,5.05,67.9,BRD core,BRD,core
B268a-Rim-1,2.75,2.28,1.7,0.35,0.69,0.02,0,0,5.05,66.4,BRD rim,BRD,rim
B268a-Rim-2,2.75,2.29,1.68,0.33,0.73,0.01,0,0.01,5.04,68.2,BRD rim,BRD,rim
B268a-Rim-3,2.76,2.26,1.69,0.3,0.77,0.02,0,0.01,5.05,71.1,BRD rim,BRD,rim
B268a-Rim-4,2.75,2.29,1.68,0.32,0.72,0.01,0,0,5.03,69.1,BRD rim,BRD,rim
Average,2.75,2.28,1.69,0.33,0.73,0.02,0,0,5.04,68.7,BRD rim,BRD,rim
B268b-Core-1,2.74,2.35,1.61,0.39,0.62,0.03,0.03,0.01,5.05,60.9,BRD core,BRD,core
B268b-Core-2,2.74,2.34,1.63,0.39,0.67,0.02,0,0,5.04,63.4,BRD core,BRD,core
B268b-Core-3,2.75,2.33,1.64,0.38,0.67,0.02,0,0.01,5.04,63.1,BRD core,BRD,core
B268b-Core-4,2.73,2.37,1.62,0.38,0.63,0.01,0,0.01,5.02,61.9,BRD core,BRD,core
B268b-Core-5,2.73,2.34,1.65,0.37,0.65,0.01,0,0,5.02,63.7,BRD core,BRD,core
B268b-Core-6,2.73,2.35,1.62,0.36,0.67,0,0,0,5.01,65.1,BRD core,BRD,core
B268b-Core-7,2.73,2.34,1.65,0.38,0.64,0.02,0,0,5.02,62.8,BRD core,BRD,core
B268b-Core-8,2.74,2.34,1.64,0.39,0.67,0,0,0,5.04,63.1,BRD core,BRD,core
B268b-Core-9,2.74,2.34,1.63,0.38,0.67,0.02,0,0,5.04,64,BRD core,BRD,core
B268b-Core-10,2.74,2.34,1.64,0.39,0.64,0.02,0.01,0,5.04,62.1,BRD core,BRD,core
B268b-Core-11,2.73,2.38,1.59,0.36,0.66,0.01,0,0,5,65,BRD core,BRD,core
B268b-Core-12,2.74,2.35,1.62,0.38,0.66,0.01,0,0.01,5.03,63.1,BRD core,BRD,core
Average,2.74,2.35,1.63,0.38,0.65,0.02,0,0,5.03,63.2,BRD core,BRD,core
B268b-Rim-1,2.73,2.41,1.57,0.47,0.56,0.02,0,0.02,5.05,53.5,BRD rim,BRD,rim
B268b-Rim-2,2.74,2.34,1.65,0.37,0.65,0.02,0,0.01,5.03,63.3,BRD rim,BRD,rim
B268b-Rim-3,2.74,2.34,1.64,0.37,0.65,0.02,0,0.01,5.03,63.1,BRD rim,BRD,rim
B268b-Rim-4,2.74,2.34,1.63,0.38,0.65,0.02,0,0.01,5.04,62.3,BRD rim,BRD,rim
B268b-Rim-5,2.71,2.55,1.42,0.66,0.45,0,0,0,5.07,40.5,BRD rim,BRD,rim
B268b-Rim-6,2.73,2.52,1.43,0.57,0.47,0.04,0.01,0.02,5.06,44.5,BRD rim,BRD,rim
Average,2.73,2.42,1.56,0.47,0.57,0.02,0,0.01,5.05,54.5,BRD rim,BRD,rim
B268-gm-1,2.73,2.34,1.65,0.39,0.64,0,0,0.02,5.04,61.2,BRD groundmass,BRD,groundmass
B268-gm-2,2.95,2.42,0.94,0.21,0.29,0.74,0.6,0.02,5.22,55.6,BRD groundmass,BRD,groundmass
B268-gm-3,2.73,2.39,1.6,0.44,0.59,0,0,0.02,5.04,56.3,BRD groundmass,BRD,groundmass
B268-gm-4,2.72,2.45,1.54,0.48,0.53,0,0,0.03,5.03,51.2,BRD groundmass,BRD,groundmass
B268-gm-5,2.72,2.52,1.45,0.5,0.5,0.02,0,0.03,5.02,48.5,BRD groundmass,BRD,groundmass
B268-gm-6,2.73,2.34,1.65,0.41,0.63,0,0,0,5.04,60.5,BRD groundmass,BRD,groundmass
B268-gm-7,2.72,2.46,1.51,0.5,0.52,0.02,0,0.03,5.04,49.3,BRD groundmass,BRD,groundmass
B268-gm-8,2.72,2.44,1.56,0.46,0.53,0,0,0.02,5.02,52.3,BRD groundmass,BRD,groundmass
B268-gm-9,2.72,2.46,1.53,0.49,0.52,0,0,0.03,5.03,50.3,BRD groundmass,BRD,groundmass
B268-gm-10,2.69,2.34,1.78,0.3,0.47,0.02,0,0,4.91,61.2,BRD groundmass,BRD,groundmass
B268-gm-11,2.72,2.4,1.61,0.42,0.59,0,0,0,5.01,58.1,BRD groundmass,BRD,groundmass
B268-gm-12,2.75,2.47,1.43,0.51,0.46,0.11,0.08,0.02,5.08,46.1,BRD groundmass,BRD,groundmass
B268-gm-13,2.73,2.42,1.57,0.45,0.58,0,0,0.03,5.04,54.7,BRD groundmass,BRD,groundmass
B268-gm-14,2.75,2.29,1.69,0.35,0.67,0.02,0,0.01,5.05,64.6,BRD groundmass,BRD,groundmass
B268-gm-15,2.72,2.47,1.52,0.53,0.51,0,0,0.02,5.05,47.9,BRD groundmass,BRD,groundmass
B268-gm-16,2.7,2.54,1.46,0.43,0.5,0.01,0,0.01,4.95,52.8,BRD groundmass,BRD,groundmass
B268-gm-17,2.71,2.45,1.54,0.36,0.58,0.01,0,0.01,4.96,60.7,BRD groundmass,BRD,groundmass
B268-gm-18,2.71,2.48,1.51,0.4,0.56,0.01,0,0.02,4.97,57.2,BRD groundmass,BRD,groundmass
B268-gm-19,2.7,2.49,1.51,0.39,0.56,0,0,0.01,4.96,58.3,BRD groundmass,BRD,groundmass
B268-gm-20,2.71,2.46,1.53,0.35,0.59,0.01,0,0.01,4.96,61.9,BRD groundmass,BRD,groundmass
B268-gm-21,2.68,2.63,1.38,0.57,0.38,0,0,0.01,4.97,39.7,BRD groundmass,BRD,groundmass
B268-gm-22,2.71,2.46,1.54,0.38,0.58,0,0,0.01,4.97,59.8,BRD groundmass,BRD,groundmass
Average,2.73,2.44,1.52,0.42,0.53,0.04,0.03,0.02,5.02,54.9,BRD groundmass,BRD,groundmass